Breed;Country of Origin;Fur Color;Color of Eyes;Character Traits;Common Health Problems
Maltese;Malta;White;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Miniature Pinscher;Germany;Red, Stag Red;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Samoyed;Russia;White;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Shetland Sheepdog;Scotland;Sable, Black;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Staffordshire Bull Terrier;England;White, Black, Red;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Vizsla;Hungary;Red;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Anatolian Shepherd;Turkey;Fawn;Brown;Loyal, intelligent, good-natured, energetic;Dental problems, eye issues, skin allergies
Welsh Corgi;Wales;Red, Sable;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Welsh Springer Spaniel;Wales;Liver, White;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Welsh Terrier;Wales;Black, Tan;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
West Highland White Terrier;Scotland;White;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Whippet;England;White, Black, Red;Brown;Intelligent, energetic, good-natured, loyal;Dental problems, eye issues, skin allergies
Wirehaired Pointing Griffon;Belgium;Brown, White;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Xoloitzcuintli;Mexico;Black, Red;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Yorkshire Terrier;England;Blue & Tan;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Akita;Japan;Red, Fawn, Sesame;Brown;Loyal, intelligent, good-natured, energetic;Dental problems, eye issues, skin allergies
Africanis;Africa;Brown, Red;Brown;Intelligent, energetic, good-natured, loyal;Dental problems, eye issues, skin allergies
Basenji;Congo;Red, Black & White;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Catahoula Leopard Dog;United States;Merle, Black;Brown;Intelligent, energetic, good-natured, loyal;Dental problems, eye issues, skin allergies
Cocker Spaniel;England;Black, Brown;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Miniature Shiba Inu;Japan;Red, Sesame;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Belgian Tervuren;Belgium;Fawn;Brown;Intelligent, energetic, good-natured, loyal;Dental problems, eye issues, skin allergies
Pharaoh Hound;Malta;Red;Brown;Intelligent, energetic, good-natured, loyal;Dental problems, eye issues, skin allergies
